sep=;
series_id;round;configuration;ml_model;fsm_version;result;winner;winner_side;duration_seconds;score_differential_ml_minus_fsm;first_clash_owner;time_to_first_clash_seconds;first_clash_fsm_part;first_clash_ml_part;fsm_wins_total;ml_wins_total;draws_total;fsm_first_clashes_total;ml_first_clashes_total;contested_first_clashes_total;no_first_clashes_total
S01;1;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;7,0000;1;Contested;1,3400;Tip;Tip;0;1;0;0;0;1;0
S01;2;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;24,0000;0;ML;1,5800;Tip;Blade;1;1;0;0;1;1;0
S01;3;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;7,4400;1;Contested;1,3400;Tip;Tip;1;2;0;0;1;2;0
S01;4;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;4,2400;0;None;;;;2;2;0;0;1;2;1
S01;5;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;5,7000;1;Contested;1,4800;Tip;Tip;2;3;0;0;1;3;1
S01;6;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;4,8600;2;None;;;;2;4;0;0;1;3;2
S01;7;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;12,3600;1;ML;6,4600;Tip;Blade;3;4;0;0;2;3;2
S01;8;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;5,6400;2;Contested;1,3800;Tip;Tip;3;5;0;0;2;4;2
S01;9;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;27,5600;1;FSM;1,5600;Blade;Tip;4;5;0;1;2;4;2
S01;10;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;8,3400;0;Contested;1,4600;Tip;Tip;5;5;0;1;2;5;2
S01;11;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;1,0600;-1;None;;;;6;5;0;1;2;5;3
S01;12;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;6,9400;0;None;;;;6;6;0;1;2;5;4
S01;13;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;11,2000;-1;ML;6,7200;Tip;Blade;7;6;0;1;3;5;4
S01;14;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;5,2200;-2;Contested;3,5200;Blade;Blade;8;6;0;1;3;6;4
S01;15;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;16,0400;-3;Contested;1,3600;Tip;Tip;9;6;0;1;3;7;4
S01;16;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;0,5600;-4;None;;;;10;6;0;1;3;7;5
S01;17;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;7,2800;-3;ML;3,3600;Tip;Blade;10;7;0;1;4;7;5
S01;18;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;18,0000;-4;Contested;1,3400;Tip;Tip;11;7;0;1;4;8;5
S01;19;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;6,8200;-3;ML;1,6200;Tip;Blade;11;8;0;1;5;8;5
S01;20;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;18,6600;-4;Contested;1,3400;Tip;Tip;12;8;0;1;5;9;5
S01;21;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;4,7800;-3;None;;;;12;9;0;1;5;9;6
S01;22;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;7,0000;-4;FSM;1,5200;Blade;Tip;13;9;0;2;5;9;6
S01;23;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;3,7200;-5;Contested;1,1600;Tip;Tip;14;9;0;2;5;10;6
S01;24;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;4,5600;-6;None;;;;15;9;0;2;5;10;7
S01;25;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;9,4200;-7;Contested;3,3000;Tip;Tip;16;9;0;2;5;11;7
S01;26;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;4,5400;-8;None;;;;17;9;0;2;5;11;8
S01;27;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;7,8200;-7;Contested;1,4800;Tip;Tip;17;10;0;2;5;12;8
S01;28;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;5,0200;-6;None;;;;17;11;0;2;5;12;9
S01;29;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;4,3600;-7;None;;;;18;11;0;2;5;12;10
S01;30;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;4,3400;-8;None;;;;19;11;0;2;5;12;11
S01;31;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;8,0200;-7;None;;;;19;12;0;2;5;12;12
