sep=;
series_id;round;configuration;ml_model;fsm_version;result;winner;winner_side;duration_seconds;score_differential_ml_minus_fsm;first_clash_owner;time_to_first_clash_seconds;first_clash_fsm_part;first_clash_ml_part;fsm_wins_total;ml_wins_total;draws_total;fsm_first_clashes_total;ml_first_clashes_total;contested_first_clashes_total;no_first_clashes_total
S05;34;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0000;-4;Contested;9,4400;Tip;Tip;12;8;14;2;8;23;1
S05;35;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0006;-4;Contested;7,2600;Tip;Tip;12;8;15;2;8;24;1
S05;36;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;24,3400;-5;Contested;1,5000;Tip;Tip;13;8;15;2;8;25;1
S05;37;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;5,2400;-6;None;;;;14;8;15;2;8;25;2
S05;38;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0012;-6;Contested;1,4600;Tip;Tip;14;8;16;2;8;26;2
S05;39;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;15,3400;-7;Contested;5,1600;Tip;Tip;15;8;16;2;8;27;2
S05;40;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;0,4600;-8;None;;;;16;8;16;2;8;27;3
S05;41;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0010;-8;ML;3,0000;Tip;Blade;16;8;17;2;9;27;3
S05;42;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;4,3600;-9;None;;;;17;8;17;2;9;27;4
S05;43;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;18,5400;-10;Contested;3,1400;Tip;Tip;18;8;17;2;9;28;4
S05;44;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Right;6,0800;-9;None;;;;18;9;17;2;9;28;5
S05;45;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;17,4200;-10;Contested;1,4000;Tip;Tip;19;9;17;2;9;29;5
S05;46;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;27,3000;-11;Contested;1,4800;Tip;Tip;20;9;17;2;9;30;5
S05;47;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0007;-11;Contested;3,2800;Tip;Tip;20;9;18;2;9;31;5
S05;48;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;15,6200;-12;Contested;2,7200;Tip;Tip;21;9;18;2;9;32;5
S05;49;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0012;-12;Contested;4,8800;Tip;Tip;21;9;19;2;9;33;5
S05;50;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;9,8800;-13;Contested;5,4400;Tip;Tip;22;9;19;2;9;34;5
S05;51;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;7,7000;-14;Contested;3,2200;Tip;Tip;23;9;19;2;9;35;5
S05;52;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0001;-14;Contested;1,4200;Tip;Tip;23;9;20;2;9;36;5
S05;53;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Right;7,9400;-13;None;;;;23;10;20;2;9;36;6
S05;54;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Right;8,4800;-12;None;;;;23;11;20;2;9;36;7
S05;55;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Right;5,5600;-11;Contested;1,4200;Tip;Tip;23;12;20;2;9;37;7
S05;56;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;6,7600;-12;ML;1,4800;Tip;Blade;24;12;20;2;10;37;7
S05;57;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;0,5400;-13;None;;;;25;12;20;2;10;37;8
S05;58;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0010;-13;ML;2,9000;Tip;Blade;25;12;21;2;11;37;8
S05;59;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;12,8600;-14;Contested;3,4399;Tip;Tip;26;12;21;2;11;38;8
S05;60;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;13,4200;-15;ML;6,8199;Tip;Blade;27;12;21;2;12;38;8
S05;61;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0007;-15;Contested;3,4399;Tip;Tip;27;12;22;2;12;39;8
S05;62;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0009;-15;FSM;1,5399;Blade;Tip;27;12;23;3;12;39;8
S05;63;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;17,5399;-16;ML;3,8400;Tip;Blade;28;12;23;3;13;39;8
