sep=;
series_id;round;configuration;ml_model;fsm_version;result;winner;winner_side;duration_seconds;score_differential_ml_minus_fsm;first_clash_owner;time_to_first_clash_seconds;first_clash_fsm_part;first_clash_ml_part;fsm_wins_total;ml_wins_total;draws_total;fsm_first_clashes_total;ml_first_clashes_total;contested_first_clashes_total;no_first_clashes_total
S02;1;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0002;0;ML;1,5200;Tip;Blade;0;0;1;0;1;0;0
S02;2;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;11,2600;-1;Contested;2,9800;Tip;Tip;1;0;1;0;1;1;0
S02;3;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0010;-1;ML;5,2800;Tip;Blade;1;0;2;0;2;1;0
S02;4;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;26,2200;-2;Contested;1,4600;Tip;Tip;2;0;2;0;2;2;0
S02;5;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Right;5,5600;-1;Contested;1,4200;Tip;Tip;2;1;2;0;2;3;0
S02;6;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Right;5,7200;0;Contested;1,4000;Tip;Tip;2;2;2;0;2;4;0
S02;7;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;19,7800;-1;Contested;1,4000;Tip;Tip;3;2;2;0;2;5;0
S02;8;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;6,0800;-2;Contested;1,4000;Tip;Tip;4;2;2;0;2;6;0
S02;9;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Right;10,9800;-1;Contested;1,4800;Tip;Tip;4;3;2;0;2;7;0
S02;10;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0011;-1;Contested;3,2600;Tip;Tip;4;3;3;0;2;8;0
S02;11;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Right;4,8000;0;None;;;;4;4;3;0;2;8;1
S02;12;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;8,2000;-1;Contested;2,9400;Tip;Tip;5;4;3;0;2;9;1
S02;13;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;11,4200;-2;Contested;4,8800;Tip;Tip;6;4;3;0;2;10;1
S02;14;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;25,9000;-3;Contested;3,2000;Tip;Tip;7;4;3;0;2;11;1
S02;15;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;5,3000;-4;Contested;1,2600;Tip;Tip;8;4;3;0;2;12;1
S02;16;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0010;-4;Contested;10,8200;Tip;Tip;8;4;4;0;2;13;1
S02;17;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0001;-4;ML;1,5200;Tip;Blade;8;4;5;0;3;13;1
S02;18;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0012;-4;ML;7,1200;Tip;Blade;8;4;6;0;4;13;1
S02;19;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Right;11,0000;-3;Contested;2,9200;Tip;Tip;8;5;6;0;4;14;1
S02;20;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;7,6200;-4;ML;5,1600;Tip;Blade;9;5;6;0;5;14;1
S02;21;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0007;-4;Contested;7,5400;Tip;Tip;9;5;7;0;5;15;1
S02;22;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Right;14,9400;-3;Contested;7,2000;Tip;Tip;9;6;7;0;5;16;1
S02;23;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Right;6,4800;-2;Contested;1,3800;Tip;Tip;9;7;7;0;5;17;1
S02;24;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Right;5,1600;-1;Contested;1,3800;Tip;Tip;9;8;7;0;5;18;1
S02;25;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;12,1600;-2;FSM;1,5200;Blade;Tip;10;8;7;1;5;18;1
S02;26;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Right;7,3600;-1;ML;1,5400;Tip;Blade;10;9;7;1;6;18;1
S02;27;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0015;-1;Contested;3,1800;Tip;Tip;10;9;8;1;6;19;1
S02;28;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;14,4000;-2;Contested;1,4600;Tip;Tip;11;9;8;1;6;20;1
