sep=;
series_id;round;configuration;ml_model;fsm_version;result;winner;winner_side;duration_seconds;score_differential_ml_minus_fsm;first_clash_owner;time_to_first_clash_seconds;first_clash_fsm_part;first_clash_ml_part;fsm_wins_total;ml_wins_total;draws_total;fsm_first_clashes_total;ml_first_clashes_total;contested_first_clashes_total;no_first_clashes_total
S03;1;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;20,9200;-1;Contested;3,1000;Tip;Tip;1;0;0;0;0;1;0
S03;2;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;14,5800;-2;Contested;3,6200;Tip;Tip;2;0;0;0;0;2;0
S03;3;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0010;-2;Contested;11,5200;Tip;Tip;2;0;1;0;0;3;0
S03;4;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Right;5,9400;-1;Contested;1,4800;Tip;Tip;2;1;1;0;0;4;0
S03;5;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Right;8,8000;0;ML;4,1600;Tip;Blade;2;2;1;0;1;4;0
S03;6;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;18,8600;-1;Contested;1,4400;Tip;Tip;3;2;1;0;1;5;0
S03;7;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0006;-1;Contested;3,2800;Tip;Tip;3;2;2;0;1;6;0
S03;8;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;19,2800;-2;ML;3,2000;Tip;Blade;4;2;2;0;2;6;0
S03;9;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Right;3,5600;-1;None;;;;4;3;2;0;2;6;1
S03;10;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Right;5,4400;0;None;;;;4;4;2;0;2;6;2
S03;11;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Right;5,6600;1;Contested;1,4400;Tip;Tip;4;5;2;0;2;7;2
S03;12;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Right;5,6000;2;Contested;1,4200;Tip;Tip;4;6;2;0;2;8;2
S03;13;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Right;7,4200;3;ML;1,5200;Tip;Blade;4;7;2;0;3;8;2
S03;14;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Right;6,8200;4;ML;1,6000;Tip;Blade;4;8;2;0;4;8;2
S03;15;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0009;4;Contested;1,4200;Tip;Tip;4;8;3;0;4;9;2
S03;16;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0005;4;ML;3,8600;Tip;Blade;4;8;4;0;5;9;2
