sep=;
series_id;round;configuration;ml_model;fsm_version;result;winner;winner_side;duration_seconds;score_differential_ml_minus_fsm;first_clash_owner;time_to_first_clash_seconds;first_clash_fsm_part;first_clash_ml_part;fsm_wins_total;ml_wins_total;draws_total;fsm_first_clashes_total;ml_first_clashes_total;contested_first_clashes_total;no_first_clashes_total
S05;1;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;5,0200;1;None;;;;0;1;0;0;0;0;1
S05;2;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;4,2600;0;None;;;;1;1;0;0;0;0;2
S05;3;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;9,9800;1;Contested;1,5200;Tip;Tip;1;2;0;0;0;1;2
S05;4;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;4,1600;0;None;;;;2;2;0;0;0;1;3
S05;5;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;10,6400;-1;FSM;3,3200;Blade;Tip;3;2;0;1;0;1;3
S05;6;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;6,0000;-2;Contested;1,4000;Tip;Tip;4;2;0;1;0;2;3
S05;7;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;5,7000;-1;Contested;1,4600;Tip;Tip;4;3;0;1;0;3;3
S05;8;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;8,1600;0;Contested;1,4800;Tip;Tip;4;4;0;1;0;4;3
S05;9;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;21,1600;-1;ML;2,8600;Tip;Blade;5;4;0;1;1;4;3
S05;10;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;4,9000;0;None;;;;5;5;0;1;1;4;4
S05;11;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;7,5600;1;Contested;1,3400;Tip;Tip;5;6;0;1;1;5;4
S05;12;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;7,1600;2;Contested;1,4000;Tip;Tip;5;7;0;1;1;6;4
S05;13;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;4,3000;1;None;;;;6;7;0;1;1;6;5
S05;14;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;4,7800;2;None;;;;6;8;0;1;1;6;6
S05;15;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;6,2600;1;Contested;1,4000;Tip;Tip;7;8;0;1;1;7;6
S05;16;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;7,4800;2;Contested;1,3600;Tip;Tip;7;9;0;1;1;8;6
S05;17;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;7,9800;1;ML;2,9800;Tip;Blade;8;9;0;1;2;8;6
S05;18;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;8,2600;2;Contested;1,3400;Tip;Tip;8;10;0;1;2;9;6
S05;19;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;14,4800;3;Contested;1,3600;Tip;Tip;8;11;0;1;2;10;6
S05;20;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;4,2800;2;None;;;;9;11;0;1;2;10;7
S05;21;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;5,5600;3;Contested;1,4000;Tip;Tip;9;12;0;1;2;11;7
S05;22;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;4,4600;2;None;;;;10;12;0;1;2;11;8
S05;23;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;7,6800;3;Contested;1,3400;Tip;Tip;10;13;0;1;2;12;8
S05;24;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;26,3200;2;Contested;1,4200;Tip;Tip;11;13;0;1;2;13;8
S05;25;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;16,9000;1;Contested;6,6600;Tip;Tip;12;13;0;1;2;14;8
S05;26;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;3,7200;2;None;;;;12;14;0;1;2;14;9
S05;27;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;21,3400;1;Contested;1,5200;Tip;Tip;13;14;0;1;2;15;9
S05;28;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;4,3000;0;None;;;;14;14;0;1;2;15;10
S05;29;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;9,0400;1;ML;3,3600;Tip;Blade;14;15;0;1;3;15;10
S05;30;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;7,1800;2;Contested;1,4400;Tip;Tip;14;16;0;1;3;16;10
S05;31;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;14,8600;1;Contested;7,9600;Tip;Tip;15;16;0;1;3;17;10
S05;32;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;5,1800;2;Contested;1,4400;Tip;Tip;15;17;0;1;3;18;10
S05;33;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;10,3600;1;Contested;3,8800;Tip;Tip;16;17;0;1;3;19;10
S05;34;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;3,9800;2;None;;;;16;18;0;1;3;19;11
S05;35;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;9,5000;3;ML;1,5200;Tip;Blade;16;19;0;1;4;19;11
S05;36;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;21,1200;2;Contested;1,4400;Tip;Tip;17;19;0;1;4;20;11
S05;37;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;6,2000;1;Contested;1,4400;Tip;Tip;18;19;0;1;4;21;11
S05;38;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;1,0400;0;None;;;;19;19;0;1;4;21;12
S05;39;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0002;0;Contested;1,3600;Tip;Tip;19;19;1;1;4;22;12
S05;40;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;9,0400;-1;ML;1,6000;Tip;Blade;20;19;1;1;5;22;12
S05;41;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;10,1400;-2;ML;1,6000;Tip;Blade;21;19;1;1;6;22;12
