sep=;
series_id;round;configuration;time_seconds;agent;agent_side;move_action;rotate_action;combined_action;behavior_state;opening_plan;sword_x;sword_y;tip_x;tip_y;handle_x;handle_y;my_threat_distance;opponent_threat_distance;threat_advantage;sword_distance
S03;1;H2H_ML_Left_FSM_Right;1,3092;ML;Left;Right;None;Right_None;Neutral;;-1,3099;-0,9994;-0,1508;-0,6888;-2,4690;-1,3100;8,5435;8,4780;-0,0656;2,7871
S03;1;H2H_ML_Left_FSM_Right;1,4105;FSM;Right;Left;None;Left_None;Opening;Upper;1,2153;-1,3368;0,0415;-1,5863;2,3891;-1,0873;8,2117;8,2654;0,0537;2,2585
S03;1;H2H_ML_Left_FSM_Right;1,4105;ML;Left;Right;None;Right_None;Neutral;;-1,0178;-0,9994;0,1413;-0,6888;-2,1770;-1,3100;8,2654;8,2117;-0,0537;2,2585
S03;1;H2H_ML_Left_FSM_Right;1,5110;FSM;Right;Left;None;Left_None;Opening;Upper;0,9630;-1,4275;-0,2108;-1,6770;2,1367;-1,1781;7,9463;7,9902;0,0439;1,7443
S03;1;H2H_ML_Left_FSM_Right;1,5110;ML;Left;Right;None;Right_None;Attacking;;-0,7279;-0,9994;0,4312;-0,6888;-1,8870;-1,3100;7,9902;7,9463;-0,0439;1,7443
S03;1;H2H_ML_Left_FSM_Right;1,6117;FSM;Right;Left;None;Left_None;Opening;Upper;0,7157;-1,5323;-0,4580;-1,7817;1,8895;-1,2828;7,6834;7,7155;0,0321;1,2702
S03;1;H2H_ML_Left_FSM_Right;1,6117;ML;Left;Right;None;Right_None;Attacking;;-0,4373;-0,9994;0,7218;-0,6888;-1,5964;-1,3100;7,7155;7,6834;-0,0321;1,2702
S03;1;H2H_ML_Left_FSM_Right;1,7128;FSM;Right;DownLeft;Clockwise;DownLeft_Clockwise;ContactControl;Upper;0,4649;-1,6306;-0,7335;-1,6934;1,6632;-1,5678;7,4313;7,4411;0,0098;0,8782
S03;1;H2H_ML_Left_FSM_Right;1,7128;ML;Left;Right;None;Right_None;Contact;;-0,1458;-0,9994;1,0134;-0,6888;-1,3049;-1,3100;7,4411;7,4313;-0,0098;0,8782
S03;1;H2H_ML_Left_FSM_Right;1,8133;FSM;Right;Up;Clockwise;Up_Clockwise;ContactControl;Upper;0,2655;-1,7969;-0,9197;-1,6092;1,4508;-1,9846;7,2678;7,1687;-0,0991;0,9197
S03;1;H2H_ML_Left_FSM_Right;1,8133;ML;Left;Right;None;Right_None;Contact;;0,1499;-0,8845;1,3242;-0,6372;-1,0243;-1,1318;7,1687;7,2678;0,0991;0,9197
S03;1;H2H_ML_Left_FSM_Right;1,9141;FSM;Right;Left;CounterClockwise;Left_CounterClockwise;Attack;Upper;0,1317;-1,6972;-1,0617;-1,5718;1,3252;-1,8227;7,1382;10,6290;3,4907;4,4735
S03;1;H2H_ML_Left_FSM_Right;1,9141;ML;Left;None;None;None_None;Neutral;;-0,2785;2,7574;-1,2284;2,0242;0,6715;3,4906;10,6290;7,1382;-3,4907;4,4735
S03;1;H2H_ML_Left_FSM_Right;2,0142;FSM;Right;Left;None;Left_None;Attack;Upper;-0,1395;-1,6841;-1,3329;-1,8096;1,0539;-1,5587;6,8208;11,0577;4,2369;4,9616
S03;1;H2H_ML_Left_FSM_Right;2,0142;ML;Left;Down;CounterClockwise;Down_CounterClockwise;Neutral;;-0,2752;3,2756;-1,3247;2,6938;0,7744;3,8574;11,0577;6,8208;-4,2369;4,9616
S03;1;H2H_ML_Left_FSM_Right;2,1154;FSM;Right;Left;None;Left_None;Attack;Upper;-0,4302;-1,6831;-1,6236;-1,8086;0,7632;-1,5577;6,5372;10,6629;4,1258;4,7018
S03;1;H2H_ML_Left_FSM_Right;2,1154;ML;Left;Down;None;Down_None;Neutral;;-0,2431;3,0149;-1,1488;2,2277;0,6625;3,8022;10,6629;6,5372;-4,1258;4,7018
S03;1;H2H_ML_Left_FSM_Right;2,2162;FSM;Right;Left;None;Left_None;Attack;Upper;-0,7207;-1,6830;-1,9142;-1,8085;0,4727;-1,5576;6,2541;10,4701;4,2160;4,4398
S03;1;H2H_ML_Left_FSM_Right;2,2162;ML;Left;DownLeft;CounterClockwise;DownLeft_CounterClockwise;Neutral;;-0,2540;2,7321;-1,1171;1,8985;0,6092;3,5657;10,4701;6,2541;-4,2160;4,4398
S03;1;H2H_ML_Left_FSM_Right;2,3173;FSM;Right;Left;None;Left_None;Attack;Upper;-1,0125;-1,6830;-2,2059;-1,8085;0,1809;-1,5576;5,9706;10,2030;4,2324;4,2346
S03;1;H2H_ML_Left_FSM_Right;2,3173;ML;Left;DownLeft;CounterClockwise;DownLeft_CounterClockwise;Neutral;;-0,4218;2,5101;-1,0398;1,4815;0,1962;3,5388;10,2030;5,9706;-4,2324;4,2346
S03;1;H2H_ML_Left_FSM_Right;2,4174;FSM;Right;Left;None;Left_None;Attack;Upper;-1,3012;-1,6830;-2,4946;-1,8085;-0,1078;-1,5576;5,6908;9,9768;4,2860;4,0451
S03;1;H2H_ML_Left_FSM_Right;2,4174;ML;Left;DownLeft;CounterClockwise;DownLeft_CounterClockwise;Neutral;;-0,6231;2,3048;-0,9538;1,1513;-0,2923;3,4584;9,9768;5,6908;-4,2860;4,0451
S03;1;H2H_ML_Left_FSM_Right;2,5176;FSM;Right;Left;None;Left_None;Attack;Upper;-1,5903;-1,6830;-2,7837;-1,8085;-0,3968;-1,5576;5,4117;9,7730;4,3614;3,8595
S03;1;H2H_ML_Left_FSM_Right;2,5176;ML;Left;DownLeft;CounterClockwise;DownLeft_CounterClockwise;Neutral;;-0,8273;2,1003;-0,8482;0,9005;-0,8064;3,3002;9,7730;5,4117;-4,3614;3,8595
S03;1;H2H_ML_Left_FSM_Right;2,6183;FSM;Right;Left;CounterClockwise;Left_CounterClockwise;Attack;Upper;-1,8807;-1,6830;-3,0742;-1,8085;-0,6873;-1,5576;5,1323;9,6056;4,4734;3,6771
S03;1;H2H_ML_Left_FSM_Right;2,6183;ML;Left;DownLeft;CounterClockwise;DownLeft_CounterClockwise;Neutral;;-1,0326;1,8949;-0,7423;0,7306;-1,3230;3,0593;9,6056;5,1323;-4,4734;3,6771
S03;1;H2H_ML_Left_FSM_Right;2,7184;FSM;Right;Left;None;Left_None;Attack;Upper;-2,1694;-1,6830;-3,3546;-1,8708;-0,9841;-1,4953;4,8457;9,5701;4,7244;3,5004
S03;1;H2H_ML_Left_FSM_Right;2,7184;ML;Left;DownLeft;Clockwise;DownLeft_Clockwise;Neutral;;-1,2367;1,6909;-0,7678;0,5863;-1,7056;2,7954;9,5701;4,8457;-4,7244;3,5004
S03;1;H2H_ML_Left_FSM_Right;2,8185;FSM;Right;Left;None;Left_None;Attack;Upper;-2,4580;-1,6830;-3,6433;-1,8708;-1,2728;-1,4953;4,5697;9,8752;5,3055;3,3290
S03;1;H2H_ML_Left_FSM_Right;2,8185;ML;Left;DownLeft;None;DownLeft_None;Neutral;;-1,4409;1,4867;-1,2119;0,3088;-1,6699;2,6647;9,8752;4,5697;-5,3055;3,3290
S03;1;H2H_ML_Left_FSM_Right;2,9195;FSM;Right;Left;None;Left_None;Attack;Upper;-2,7494;-1,6830;-3,9346;-1,8708;-1,5642;-1,4953;4,2928;9,9435;5,6507;3,1622
S03;1;H2H_ML_Left_FSM_Right;2,9195;ML;Left;DownLeft;CounterClockwise;DownLeft_CounterClockwise;Neutral;;-1,6469;1,2807;-1,3565;0,1164;-1,9372;2,4451;9,9435;4,2928;-5,6507;3,1622
S03;1;H2H_ML_Left_FSM_Right;3,0197;FSM;Right;Left;None;Left_None;Attack;Upper;-3,0384;-1,6830;-4,2236;-1,8708;-1,8532;-1,4953;4,0202;9,8744;5,8542;3,0039
S03;1;H2H_ML_Left_FSM_Right;3,0197;ML;Left;DownLeft;None;DownLeft_None;Neutral;;-1,8512;1,0763;-1,3252;-0,0022;-2,3773;2,1549;9,8744;4,0202;-5,8542;3,0039
S03;1;H2H_ML_Left_FSM_Right;3,1199;FSM;Right;Left;None;Left_None;Attack;Upper;-3,3275;-1,6830;-4,5013;-1,9325;-2,1537;-1,4335;3,7384;10,0036;6,2652;2,8540
S03;1;H2H_ML_Left_FSM_Right;3,1199;ML;Left;DownLeft;None;DownLeft_None;Neutral;;-2,0557;0,8719;-1,5296;-0,2066;-2,5817;1,9505;10,0036;3,7384;-6,2652;2,8540
S03;1;H2H_ML_Left_FSM_Right;3,2208;FSM;Right;Left;None;Left_None;Attack;Upper;-3,5798;-1,7771;-4,7535;-2,0266;-2,4060;-1,5276;3,4691;10,1404;6,6713;2,7760
S03;1;H2H_ML_Left_FSM_Right;3,2208;ML;Left;DownLeft;None;DownLeft_None;Neutral;;-2,2616;0,6660;-1,7355;-0,4125;-2,7877;1,7445;10,1404;3,4691;-6,6713;2,7760
S03;1;H2H_ML_Left_FSM_Right;3,3222;FSM;Right;DownLeft;None;DownLeft_None;Attack;Upper;-3,8332;-1,8714;-5,0069;-2,1209;-2,6594;-1,6219;3,1987;10,3838;7,1851;2,7008
