sep=;
series_id;round;configuration;ml_model;fsm_version;result;winner;winner_side;duration_seconds;score_differential_ml_minus_fsm;first_clash_owner;time_to_first_clash_seconds;first_clash_fsm_part;first_clash_ml_part;fsm_wins_total;ml_wins_total;draws_total;fsm_first_clashes_total;ml_first_clashes_total;contested_first_clashes_total;no_first_clashes_total
S03;1;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;4,2600;-1;None;;;;1;0;0;0;0;0;1
S03;2;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;7,5800;0;Contested;1,4400;Tip;Tip;1;1;0;0;0;1;1
S03;3;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;4,2000;-1;None;;;;2;1;0;0;0;1;2
S03;4;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;7,5400;0;Contested;1,3400;Tip;Tip;2;2;0;0;0;2;2
S03;5;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;4,2800;-1;None;;;;3;2;0;0;0;2;3
S03;6;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;6,1600;0;ML;1,7600;Tip;Blade;3;3;0;0;1;2;3
S03;7;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;9,3200;-1;Contested;1,3400;Tip;Tip;4;3;0;0;1;3;3
S03;8;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;5,0400;0;None;;;;4;4;0;0;1;3;4
S03;9;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;5,5800;1;ML;1,5800;Tip;Blade;4;5;0;0;2;3;4
S03;10;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;4,4400;0;None;;;;5;5;0;0;2;3;5
