sep=;
series_id;round;configuration;ml_model;fsm_version;result;winner;winner_side;duration_seconds;score_differential_ml_minus_fsm;first_clash_owner;time_to_first_clash_seconds;first_clash_fsm_part;first_clash_ml_part;fsm_wins_total;ml_wins_total;draws_total;fsm_first_clashes_total;ml_first_clashes_total;contested_first_clashes_total;no_first_clashes_total
S04;1;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;4,1800;-1;None;;;;1;0;0;0;0;0;1
S04;2;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;13,2200;0;Contested;9,2200;Tip;Tip;1;1;0;0;0;1;1
S04;3;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;5,5800;-1;FSM;1,5800;Blade;Tip;2;1;0;1;0;1;1
S04;4;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;4,9000;-2;None;;;;3;1;0;1;0;1;2
S04;5;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;0,7000;-3;None;;;;4;1;0;1;0;1;3
S04;6;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;16,4800;-4;ML;3,7400;Tip;Blade;5;1;0;1;1;1;3
S04;7;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;13,0000;-5;Contested;3,6000;Blade;Blade;6;1;0;1;1;2;3
S04;8;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;13,4000;-6;Contested;1,3400;Tip;Tip;7;1;0;1;1;3;3
S04;9;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;8,6800;-5;Contested;1,4400;Tip;Tip;7;2;0;1;1;4;3
S04;10;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;4,3200;-6;None;;;;8;2;0;1;1;4;4
S04;11;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0010;-6;Contested;1,3800;Tip;Tip;8;2;1;1;1;5;4
S04;12;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;13,3600;-7;ML;1,3200;Tip;Blade;9;2;1;1;2;5;4
S04;13;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;27,3600;-8;ML;1,6000;Tip;Blade;10;2;1;1;3;5;4
S04;14;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;14,3400;-9;Contested;1,3600;Tip;Tip;11;2;1;1;3;6;4
S04;15;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;0,4800;-10;None;;;;12;2;1;1;3;6;5
S04;16;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;4,5400;-11;None;;;;13;2;1;1;3;6;6
S04;17;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;4,2600;-12;None;;;;14;2;1;1;3;6;7
S04;18;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;8,2200;-13;ML;2,8800;Tip;Blade;15;2;1;1;4;6;7
S04;19;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;21,0000;-12;Contested;1,4000;Tip;Tip;15;3;1;1;4;7;7
S04;20;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;7,1600;-11;Contested;1,3800;Tip;Tip;15;4;1;1;4;8;7
S04;21;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;4,2800;-12;None;;;;16;4;1;1;4;8;8
S04;22;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0002;-12;ML;3,2000;Tip;Blade;16;4;2;1;5;8;8
S04;23;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;4,9400;-11;None;;;;16;5;2;1;5;8;9
S04;24;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;8,9200;-12;Contested;1,4800;Tip;Tip;17;5;2;1;5;9;9
S04;25;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;16,4400;-13;FSM;1,7000;Blade;Tip;18;5;2;2;5;9;9
