sep=;
round;configuration;ml_model;fsm_version;result;duration_seconds;first_clash_owner;time_to_first_clash_seconds;first_clash_fsm_part;first_clash_ml_part;fsm_wins_total;ml_wins_total;draws_total;fsm_first_clashes_total;ml_first_clashes_total;contested_first_clashes_total;no_first_clashes_total
39;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;8,1600;Contested;1,3600;Tip;Tip;21;16;2;0;4;19;16
40;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;10,5000;ML;1,5200;Tip;Blade;21;17;2;0;5;19;16
41;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,4600;None;;;;22;17;2;0;5;19;17
42;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;10,0400;None;;;;23;17;2;0;5;19;18
43;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;4,0000;None;;;;23;18;2;0;5;19;19
44;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,6200;None;;;;24;18;2;0;5;19;20
45;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;6,6000;Contested;1,3400;Tip;Tip;24;19;2;0;5;20;20
46;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;8,2400;Contested;1,3400;Tip;Tip;25;19;2;0;5;21;20
47;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,1800;None;;;;25;20;2;0;5;21;21
48;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;6,1200;None;;;;25;21;2;0;5;21;22
49;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;3,5400;None;;;;25;22;2;0;5;21;23
50;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;25,4000;Contested;1,4400;Tip;Tip;26;22;2;0;5;22;23
51;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,3800;None;;;;27;22;2;0;5;22;24
52;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;6,9200;None;;;;27;23;2;0;5;22;25
53;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,6800;None;;;;28;23;2;0;5;22;26
54;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,4600;None;;;;29;23;2;0;5;22;27
55;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;6,6400;None;;;;29;24;2;0;5;22;28
56;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;6,3400;ML;1,6000;Tip;Blade;29;25;2;0;6;22;28
57;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,3800;None;;;;30;25;2;0;6;22;29
58;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,3200;None;;;;31;25;2;0;6;22;30
59;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,9800;None;;;;31;26;2;0;6;22;31
60;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;5,3200;Contested;3,6000;Tip;Tip;32;26;2;0;6;23;31
61;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;7,4400;ML;1,6000;Tip;Blade;32;27;2;0;7;23;31
62;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,2600;ML;3,3200;Tip;Blade;32;28;2;0;8;23;31
63;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;11,4600;Contested;4,5000;Tip;Tip;32;29;2;0;8;24;31
64;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,4000;None;;;;33;29;2;0;8;24;32
65;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;12,6200;Contested;1,5200;Tip;Tip;34;29;2;0;8;25;32
66;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;12,3000;Contested;1,3400;Tip;Tip;35;29;2;0;8;26;32
67;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,4800;None;;;;36;29;2;0;8;26;33
68;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;10,3800;Contested;6,6800;Tip;Tip;37;29;2;0;8;27;33
69;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;4,8800;ML;4,5000;Tip;Blade;37;30;2;0;9;27;33
70;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;7,6000;Contested;1,3400;Tip;Tip;37;31;2;0;9;28;33
71;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;10,5599;Contested;1,3400;Tip;Tip;38;31;2;0;9;29;33
72;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,3800;None;;;;39;31;2;0;9;29;34
73;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;6,6800;None;;;;40;31;2;0;9;29;35
74;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,5800;FSM;3,3000;Blade;Tip;41;31;2;1;9;29;35
75;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;17,5400;Contested;1,4000;Tip;Tip;42;31;2;1;9;30;35
76;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;4,9800;None;;;;42;32;2;1;9;30;36
77;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;7,2600;FSM;3,4400;Blade;Tip;42;33;2;2;9;30;36
78;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,3000;None;;;;43;33;2;2;9;30;37
79;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,4000;None;;;;44;33;2;2;9;30;38
80;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0007;ML;3,5800;Tip;Blade;44;33;3;2;10;30;38
81;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;4,6201;None;;;;44;34;3;2;10;30;39
82;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;7,0400;Contested;1,3800;Tip;Tip;45;34;3;2;10;31;39
