sep=;
round;configuration;ml_model;fsm_version;result;duration_seconds;first_clash_owner;time_to_first_clash_seconds;first_clash_fsm_part;first_clash_ml_part;fsm_wins_total;ml_wins_total;draws_total;fsm_first_clashes_total;ml_first_clashes_total;contested_first_clashes_total;no_first_clashes_total
1;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;9,1000;Contested;1,5000;Tip;Tip;0;1;0;0;0;1;0
2;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;8,2400;ML;2,8000;Tip;Blade;1;1;0;0;1;1;0
3;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;13,8600;ML;9,1000;Tip;Blade;2;1;0;0;2;1;0
4;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;0,5200;None;;;;3;1;0;0;2;1;1
5;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;6,9800;ML;1,2800;Tip;Blade;4;1;0;0;3;1;1
6;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;4,5800;None;;;;4;2;0;0;3;1;2
7;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0033;ML;2,7400;Tip;Blade;4;2;1;0;4;1;2
8;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,7000;None;;;;4;3;1;0;4;1;3
9;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,7600;Contested;1,3800;Tip;Tip;4;4;1;0;4;2;3
10;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0004;Contested;1,4400;Tip;Tip;4;4;2;0;4;3;3
11;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;27,2600;ML;2,6600;Tip;Blade;5;4;2;0;5;3;3
12;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0013;ML;3,2600;Tip;Blade;5;4;3;0;6;3;3
13;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0003;FSM;3,3400;Blade;Tip;5;4;4;1;6;3;3
14;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0015;ML;1,4800;Tip;Blade;5;4;5;1;7;3;3
15;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;7,9800;Contested;3,3800;Tip;Tip;6;4;5;1;7;4;3
16;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,6600;Contested;1,4400;Tip;Tip;6;5;5;1;7;5;3
17;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;9,1600;Contested;1,4800;Tip;Tip;6;6;5;1;7;6;3
18;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,2800;None;;;;7;6;5;1;7;6;4
19;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;13,4800;Contested;2,9600;Tip;Tip;8;6;5;1;7;7;4
20;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;7,7400;Contested;4,0400;Tip;Tip;8;7;5;1;7;8;4
21;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;26,4400;ML;4,1200;Tip;Blade;9;7;5;1;8;8;4
22;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,4800;None;;;;10;7;5;1;8;8;5
23;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0012;Contested;3,4000;Tip;Tip;10;7;6;1;8;9;5
24;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,6000;None;;;;10;8;6;1;8;9;6
25;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0007;Contested;1,5000;Tip;Tip;10;8;7;1;8;10;6
26;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;4,1000;None;;;;10;9;7;1;8;10;7
27;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;8,9000;Contested;1,4600;Tip;Tip;10;10;7;1;8;11;7
28;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;5,9400;Contested;1,3800;Tip;Tip;11;10;7;1;8;12;7
29;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;9,9600;Contested;3,3600;Tip;Tip;12;10;7;1;8;13;7
30;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0007;Contested;2,5600;Tip;Tip;12;10;8;1;8;14;7
