sep=;
round;configuration;ml_model;fsm_version;result;duration_seconds;first_clash_owner;time_to_first_clash_seconds;first_clash_fsm_part;first_clash_ml_part;fsm_wins_total;ml_wins_total;draws_total;fsm_first_clashes_total;ml_first_clashes_total;contested_first_clashes_total;no_first_clashes_total
1;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;13,3800;Contested;1,6200;Tip;Tip;1;0;0;0;0;1;0
2;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;9,5800;Contested;1,6200;Tip;Tip;2;0;0;0;0;2;0
3;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;7,9200;Contested;1,6400;Tip;Tip;3;0;0;0;0;3;0
4;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,6400;Contested;1,4800;Tip;Tip;3;1;0;0;0;4;0
5;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;17,0000;Contested;1,6400;Tip;Tip;4;1;0;0;0;5;0
6;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;17,1000;ML;4,2400;Tip;Blade;5;1;0;0;1;5;0
7;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;13,7800;Contested;1,6000;Tip;Tip;6;1;0;0;1;6;0
8;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;10,4000;Contested;1,5200;Tip;Tip;7;1;0;0;1;7;0
9;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;28,3800;Contested;1,6400;Tip;Tip;8;1;0;0;1;8;0
10;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;23,3200;ML;2,8600;Tip;Blade;9;1;0;0;2;8;0
11;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;6,1200;Contested;1,3800;Tip;Tip;10;1;0;0;2;9;0
12;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;14,6600;ML;8,1000;Tip;Blade;11;1;0;0;3;9;0
13;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;11,6400;None;;;;12;1;0;0;3;9;1
14;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;27,7000;Contested;3,1800;Tip;Tip;13;1;0;0;3;10;1
15;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;5,2600;ML;2,8000;Tip;Blade;14;1;0;0;4;10;1
16;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;8,4400;ML;1,3200;Tip;Blade;15;1;0;0;5;10;1
17;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;6,1000;Contested;1,4000;Tip;Tip;16;1;0;0;5;11;1
18;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;17,7800;Contested;1,7200;Tip;Tip;17;1;0;0;5;12;1
19;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;15,2200;ML;8,4200;Tip;Blade;18;1;0;0;6;12;1
20;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;7,4600;Contested;3,1600;Tip;Tip;18;2;0;0;6;13;1
21;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,5800;Contested;1,4000;Tip;Tip;18;3;0;0;6;14;1
22;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,6200;Contested;1,4800;Tip;Tip;18;4;0;0;6;15;1
23;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;6,9000;Contested;1,4400;Tip;Tip;19;4;0;0;6;16;1
24;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;16,8000;Contested;1,6600;Tip;Tip;20;4;0;0;6;17;1
25;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;24,3800;ML;7,2600;Tip;Blade;21;4;0;0;7;17;1
26;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;6,9000;Contested;1,6800;Tip;Tip;22;4;0;0;7;18;1
27;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;14,5800;Contested;1,6200;Tip;Tip;23;4;0;0;7;19;1
28;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;23,0600;Contested;1,5200;Tip;Tip;24;4;0;0;7;20;1
29;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;24,8600;Contested;1,5800;Tip;Tip;25;4;0;0;7;21;1
30;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;16,8800;Contested;1,6600;Tip;Tip;26;4;0;0;7;22;1
