sep=;
round;configuration;ml_model;fsm_version;result;duration_seconds;first_clash_owner;time_to_first_clash_seconds;first_clash_fsm_part;first_clash_ml_part;fsm_wins_total;ml_wins_total;draws_total;fsm_first_clashes_total;ml_first_clashes_total;contested_first_clashes_total;no_first_clashes_total
1;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;7,5600;Contested;1,3400;Tip;Tip;0;1;0;0;0;1;0
2;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;14,3600;FSM;1,7600;Blade;Tip;1;1;0;1;0;1;0
3;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;6,4600;Contested;1,6800;Tip;Tip;1;2;0;1;0;2;0
4;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;6,6200;ML;1,5400;Tip;Blade;1;3;0;1;1;2;0
5;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,2600;None;;;;2;3;0;1;1;2;1
6;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;15,0400;FSM;3,2800;Blade;Tip;3;3;0;2;1;2;1
7;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,2400;None;;;;3;4;0;2;1;2;2
8;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;4,1200;None;;;;3;5;0;2;1;2;3
9;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,2600;None;;;;3;6;0;2;1;2;4
10;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;7,3600;Contested;1,3800;Tip;Tip;4;6;0;2;1;3;4
11;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,6000;Contested;1,3600;Tip;Tip;4;7;0;2;1;4;4
12;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,5800;None;;;;5;7;0;2;1;4;5
13;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,3400;None;;;;6;7;0;2;1;4;6
14;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,9600;ML;1,5400;Tip;Blade;6;8;0;2;2;4;6
15;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;3,8000;None;;;;6;9;0;2;2;4;7
16;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;23,1600;ML;4,0400;Tip;Blade;7;9;0;2;3;4;7
17;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,2800;None;;;;8;9;0;2;3;4;8
18;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;7,2600;None;;;;9;9;0;2;3;4;9
19;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;7,5000;Contested;1,5400;Tip;Tip;9;10;0;2;3;5;9
20;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,7600;FSM;3,2200;Blade;Tip;10;10;0;3;3;5;9
21;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;28,7600;FSM;1,6000;Blade;Tip;11;10;0;4;3;5;9
22;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,6400;None;;;;11;11;0;4;3;5;10
23;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;8,3600;Contested;1,4400;Tip;Tip;11;12;0;4;3;6;10
24;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;6,0600;Contested;1,4000;Tip;Tip;12;12;0;4;3;7;10
25;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,6200;Contested;1,3600;Tip;Tip;12;13;0;4;3;8;10
26;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;6,1400;None;;;;12;14;0;4;3;8;11
27;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,2200;None;;;;12;15;0;4;3;8;12
28;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;7,1000;Contested;1,3400;Tip;Tip;12;16;0;4;3;9;12
29;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;6,9000;Contested;1,3400;Tip;Tip;12;17;0;4;3;10;12
30;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0011;Contested;1,3400;Tip;Tip;12;17;1;4;3;11;12
