sep=;
round;configuration;ml_model;fsm_version;result;duration_seconds;first_clash_owner;time_to_first_clash_seconds;first_clash_fsm_part;first_clash_ml_part;fsm_wins_total;ml_wins_total;draws_total;fsm_first_clashes_total;ml_first_clashes_total;contested_first_clashes_total;no_first_clashes_total
1;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;14,2800;Contested;2,8000;Tip;Tip;1;0;0;0;0;1;0
2;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;14,8200;ML;5,3400;Tip;Blade;2;0;0;0;1;1;0
3;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;20,6400;ML;7,3600;Tip;Blade;3;0;0;0;2;1;0
4;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0033;Contested;3,3400;Tip;Tip;3;0;1;0;2;2;0
5;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;6,5600;Contested;1,4200;Tip;Tip;3;1;1;0;2;3;0
6;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;9,7800;Contested;3,0400;Tip;Tip;4;1;1;0;2;4;0
7;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;9,9600;Contested;1,5600;Tip;Tip;5;1;1;0;2;5;0
8;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;1,3800;None;;;;6;1;1;0;2;5;1
9;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;8,4000;Contested;1,4800;Tip;Tip;7;1;1;0;2;6;1
10;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;9,2600;ML;5,3000;Tip;Blade;8;1;1;0;3;6;1
11;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;6,7200;None;;;;8;2;1;0;3;6;2
12;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;7,8800;Contested;3,1200;Tip;Tip;9;2;1;0;3;7;2
13;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;12,3000;Contested;2,8400;Tip;Tip;10;2;1;0;3;8;2
14;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;7,2000;ML;1,6400;Tip;Blade;10;3;1;0;4;8;2
15;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;8,4400;ML;1,6000;Tip;Blade;10;4;1;0;5;8;2
16;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;18,6200;Contested;2,7200;Tip;Tip;11;4;1;0;5;9;2
17;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;7,2600;ML;3,0400;Tip;Blade;11;5;1;0;6;9;2
18;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;20,7600;Contested;2,5600;Tip;Tip;12;5;1;0;6;10;2
19;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0004;Contested;1,3400;Tip;Tip;12;5;2;0;6;11;2
20;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;9,2400;Contested;1,4800;Tip;Tip;12;6;2;0;6;12;2
21;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;8,4200;ML;1,5000;Tip;Blade;12;7;2;0;7;12;2
22;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;8,5600;Contested;1,3800;Tip;Tip;12;8;2;0;7;13;2
23;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;6,6000;Contested;1,3800;Tip;Tip;13;8;2;0;7;14;2
24;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;19,5000;ML;7,4800;Tip;Blade;14;8;2;0;8;14;2
25;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;8,7000;ML;4,4000;Tip;Blade;14;9;2;0;9;14;2
26;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;11,0000;Contested;1,5000;Tip;Tip;14;10;2;0;9;15;2
27;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0007;Contested;3,3600;Tip;Tip;14;10;3;0;9;16;2
28;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;11,1800;Contested;1,4800;Tip;Tip;15;10;3;0;9;17;2
29;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0001;ML;5,3000;Tip;Blade;15;10;4;0;10;17;2
30;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,3400;Contested;1,4200;Tip;Tip;15;11;4;0;10;18;2
