sep=;
round;configuration;ml_model;fsm_version;result;duration_seconds;first_clash_owner;time_to_first_clash_seconds;first_clash_fsm_part;first_clash_ml_part;fsm_wins_total;ml_wins_total;draws_total;fsm_first_clashes_total;ml_first_clashes_total;contested_first_clashes_total;no_first_clashes_total
1;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;5,1000;FSM;1,5200;Blade;Tip;1;0;0;1;0;0;0
2;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,6800;ML;1,8600;Tip;Blade;1;1;0;1;1;0;0
3;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;9,6800;Contested;1,3600;Tip;Tip;2;1;0;1;1;1;0
4;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;17,4800;Contested;1,4000;Tip;Tip;3;1;0;1;1;2;0
5;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;6,4000;Contested;1,6800;Tip;Tip;3;2;0;1;1;3;0
6;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;6,7800;None;;;;3;3;0;1;1;3;1
7;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;23,5000;ML;5,5000;Tip;Blade;4;3;0;1;2;3;1
8;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;6,1400;None;;;;4;4;0;1;2;3;2
9;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,2400;ML;1,6400;Tip;Blade;4;5;0;1;3;3;2
10;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;6,6000;Contested;1,8200;Tip;Tip;4;6;0;1;3;4;2
11;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;16,5800;ML;10,3800;Tip;Blade;5;6;0;1;4;4;2
12;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;7,2000;ML;1,7000;Tip;Blade;5;7;0;1;5;4;2
13;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;21,1800;Contested;1,3600;Tip;Tip;6;7;0;1;5;5;2
14;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;21,9800;Contested;4,9200;Tip;Tip;7;7;0;1;5;6;2
15;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;7,9800;ML;1,3400;Tip;Blade;8;7;0;1;6;6;2
16;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;5,0800;None;;;;9;7;0;1;6;6;3
17;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;4,6800;None;;;;9;8;0;1;6;6;4
18;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;6,7200;Contested;1,6600;Tip;Tip;9;9;0;1;6;7;4
19;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;7,9800;ML;1,6200;Tip;Blade;9;10;0;1;7;7;4
20;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;9,3400;ML;5,2400;Tip;Blade;10;10;0;1;8;7;4
21;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;9,2000;Contested;1,5000;Tip;Tip;10;11;0;1;8;8;4
22;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0002;Contested;1,4800;Tip;Tip;10;11;1;1;8;9;4
23;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;7,0600;Contested;3,1200;Tip;Tip;10;12;1;1;8;10;4
24;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0009;ML;3,2800;Tip;Blade;10;12;2;1;9;10;4
25;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;8,8200;ML;3,3600;Tip;Blade;11;12;2;1;10;10;4
26;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;8,6000;Contested;1,7000;Tip;Tip;12;12;2;1;10;11;4
27;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;3,8800;ML;1,5800;Tip;Blade;13;12;2;1;11;11;4
