sep=;
round;configuration;ml_model;fsm_version;result;duration_seconds;first_clash_owner;time_to_first_clash_seconds;first_clash_fsm_part;first_clash_ml_part;fsm_wins_total;ml_wins_total;draws_total;fsm_first_clashes_total;ml_first_clashes_total;contested_first_clashes_total;no_first_clashes_total
1;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;6,6800;Contested;1,3600;Tip;Tip;0;1;0;0;0;1;0
2;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;7,2800;Contested;1,3400;Tip;Tip;0;2;0;0;0;2;0
3;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;15,7400;Contested;1,3400;Tip;Tip;1;2;0;0;0;3;0
4;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;8,1600;Contested;1,3800;Tip;Tip;1;3;0;0;0;4;0
5;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,0800;None;;;;1;4;0;0;0;4;1
6;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;6,2600;None;;;;2;4;0;0;0;4;2
7;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;19,5200;ML;7,1200;Tip;Blade;3;4;0;0;1;4;2
8;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;7,2000;Contested;1,5400;Tip;Tip;4;4;0;0;1;5;2
9;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;6,8000;Contested;1,4800;Tip;Tip;5;4;0;0;1;6;2
10;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,4000;None;;;;6;4;0;0;1;6;3
11;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;4,0400;None;;;;6;5;0;0;1;6;4
12;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;8,4400;ML;1,6000;Tip;Blade;6;6;0;0;2;6;4
13;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;6,8000;ML;3,3200;Tip;Blade;7;6;0;0;3;6;4
14;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,5400;None;;;;7;7;0;0;3;6;5
15;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;10,7800;ML;2,7800;Tip;Blade;8;7;0;0;4;6;5
16;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;20,5000;ML;6,9800;Tip;Blade;9;7;0;0;5;6;5
17;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,2800;None;;;;10;7;0;0;5;6;6
18;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,7200;ML;3,5400;Tip;Blade;10;8;0;0;6;6;6
19;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,7200;Contested;1,4400;Tip;Tip;10;9;0;0;6;7;6
20;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;29,5400;FSM;3,2600;Blade;Tip;11;9;0;1;6;7;6
21;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;8,7000;ML;5,0600;Tip;Blade;12;9;0;1;7;7;6
22;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;1,4600;None;;;;13;9;0;1;7;7;7
23;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;6,3000;Contested;1,4400;Tip;Tip;13;10;0;1;7;8;7
24;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,2800;None;;;;14;10;0;1;7;8;8
25;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;29,6800;Contested;4,0600;Tip;Tip;15;10;0;1;7;9;8
