sep=;
round;configuration;ml_model;fsm_version;result;duration_seconds;first_clash_owner;time_to_first_clash_seconds;first_clash_fsm_part;first_clash_ml_part;fsm_wins_total;ml_wins_total;draws_total;fsm_first_clashes_total;ml_first_clashes_total;contested_first_clashes_total;no_first_clashes_total
1;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;14,3000;Contested;3,1000;Tip;Tip;1;0;0;0;0;1;0
2;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;25,7692;Contested;3,9892;Tip;Tip;2;0;0;0;0;2;0
3;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0006;ML;5,1293;Tip;Blade;2;0;1;0;1;2;0
4;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0003;Contested;5,8386;Tip;Tip;2;0;2;0;1;3;0
5;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;11,6472;Contested;3,4672;Tip;Tip;2;1;2;0;1;4;0
6;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;4,7070;Contested;1,4270;Tip;Tip;2;2;2;0;1;5;0
7;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0006;Contested;3,3487;Tip;Tip;2;2;3;0;1;6;0
8;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;3,9978;Contested;1,7578;Tip;Tip;3;2;3;0;1;7;0
9;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0013;Contested;3,1291;Tip;Tip;3;2;4;0;1;8;0
10;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;3,9177;None;;;;3;3;4;0;1;8;1
