sep=;
round;configuration;ml_model;fsm_version;result;duration_seconds;first_clash_owner;time_to_first_clash_seconds;first_clash_fsm_part;first_clash_ml_part;fsm_wins_total;ml_wins_total;draws_total;fsm_first_clashes_total;ml_first_clashes_total;contested_first_clashes_total;no_first_clashes_total
1;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,2400;None;;;;1;0;0;0;0;0;1
2;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;7,3000;Contested;1,3400;Tip;Tip;1;1;0;0;0;1;1
3;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,5400;Contested;1,4200;Tip;Tip;1;2;0;0;0;2;1
4;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,8400;None;;;;1;3;0;0;0;2;2
5;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,2200;None;;;;2;3;0;0;0;2;3
6;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,2200;None;;;;3;3;0;0;0;2;4
7;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,1800;None;;;;4;3;0;0;0;2;5
8;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,0800;None;;;;4;4;0;0;0;2;6
9;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,2800;None;;;;4;5;0;0;0;2;7
10;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;17,3800;Contested;1,3600;Tip;Tip;5;5;0;0;0;3;7
11;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;21,0000;ML;7,1800;Tip;Blade;6;5;0;0;1;3;7
12;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;4,8000;None;;;;6;6;0;0;1;3;8
13;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,2400;None;;;;6;7;0;0;1;3;9
14;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;3,7800;None;;;;6;8;0;0;1;3;10
15;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;13,7200;FSM;3,2400;Blade;Tip;7;8;0;1;1;3;10
16;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,4000;None;;;;8;8;0;1;1;3;11
17;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;6,1200;None;;;;9;8;0;1;1;3;12
18;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;4,5800;None;;;;9;9;0;1;1;3;13
19;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;14,9400;Contested;1,3400;Tip;Tip;10;9;0;1;1;4;13
20;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;8,1800;Contested;1,3400;Tip;Tip;10;10;0;1;1;5;13
21;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,3400;None;;;;11;10;0;1;1;5;14
22;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;19,7600;FSM;1,5800;Blade;Tip;12;10;0;2;1;5;14
23;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,5000;None;;;;13;10;0;2;1;5;15
24;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;4,0800;None;;;;13;11;0;2;1;5;16
25;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,3000;None;;;;14;11;0;2;1;5;17
26;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;10,4000;FSM;1,6400;Blade;Tip;15;11;0;3;1;5;17
27;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;25,7400;Contested;7,1000;Tip;Tip;16;11;0;3;1;6;17
28;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,2600;None;;;;17;11;0;3;1;6;18
29;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,9600;FSM;3,3600;Blade;Tip;18;11;0;4;1;6;18
30;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;16,3800;ML;1,6000;Tip;Blade;19;11;0;4;2;6;18
31;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;11,2800;None;;;;19;12;0;4;2;6;19
32;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;12,6600;Contested;1,4000;Tip;Tip;19;13;0;4;2;7;19
33;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;14,8400;Contested;1,3400;Tip;Tip;20;13;0;4;2;8;19
34;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;6,7800;Contested;1,3800;Tip;Tip;20;14;0;4;2;9;19
35;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,3800;None;;;;21;14;0;4;2;9;20
36;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;7,7800;Contested;1,4800;Tip;Tip;21;15;0;4;2;10;20
37;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;18,2400;FSM;1,5400;Blade;Tip;22;15;0;5;2;10;20
38;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;14,7800;FSM;1,7200;Blade;Tip;23;15;0;6;2;10;20
39;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;7,9800;Contested;1,3800;Tip;Tip;23;16;0;6;2;11;20
40;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,9800;None;;;;24;16;0;6;2;11;21
41;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,2400;None;;;;25;16;0;6;2;11;22
42;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;24,2800;FSM;3,3200;Blade;Tip;26;16;0;7;2;11;22
43;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,4400;None;;;;27;16;0;7;2;11;23
44;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,5000;None;;;;28;16;0;7;2;11;24
45;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,3200;None;;;;29;16;0;7;2;11;25
46;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,6400;Contested;1,4400;Tip;Tip;29;17;0;7;2;12;25
47;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;9,5800;ML;3,8800;Tip;Blade;30;17;0;7;3;12;25
48;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;8,7400;Contested;1,3600;Tip;Tip;30;18;0;7;3;13;25
49;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,9200;None;;;;30;19;0;7;3;13;26
50;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;10,4000;ML;1,5400;Tip;Blade;30;20;0;7;4;13;26
51;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;18,8000;FSM;1,6000;Blade;Tip;31;20;0;8;4;13;26
52;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;23,0000;Contested;1,3600;Tip;Tip;32;20;0;8;4;14;26
53;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;6,5800;Contested;1,4800;Tip;Tip;32;21;0;8;4;15;26
54;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;6,5000;None;;;;33;21;0;8;4;15;27
55;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;12,7800;FSM;2,9000;Blade;Tip;34;21;0;9;4;15;27
56;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;11,3600;Contested;2,7800;Tip;Tip;35;21;0;9;4;16;27
57;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,5400;None;;;;36;21;0;9;4;16;28
58;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,2600;None;;;;37;21;0;9;4;16;29
59;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;8,3600;Contested;1,3400;Tip;Tip;37;22;0;9;4;17;29
60;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,2800;None;;;;38;22;0;9;4;17;30
61;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,6400;Contested;1,4600;Tip;Tip;38;23;0;9;4;18;30
62;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;0,5000;None;;;;38;24;0;9;4;18;31
63;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,2800;None;;;;39;24;0;9;4;18;32
64;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;16,5200;Contested;1,4800;Tip;Tip;40;24;0;9;4;19;32
