sep=;
round;configuration;ml_model;fsm_version;result;duration_seconds;first_clash_owner;time_to_first_clash_seconds;first_clash_fsm_part;first_clash_ml_part;fsm_wins_total;ml_wins_total;draws_total;fsm_first_clashes_total;ml_first_clashes_total;contested_first_clashes_total;no_first_clashes_total
1;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;13,1200;Contested;2,7400;Tip;Tip;0;1;0;0;0;1;0
2;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;14,0200;Contested;1,6400;Tip;Tip;1;1;0;0;0;2;0
3;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;1,6600;None;;;;2;1;0;0;0;2;1
4;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;7,8600;FSM;6,1600;Blade;Tip;3;1;0;1;0;2;1
5;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;6,1800;Contested;1,4000;Tip;Tip;3;2;0;1;0;3;1
6;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;9,6800;ML;1,6600;Tip;Blade;3;3;0;1;1;3;1
7;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;8,7800;None;;;;4;3;0;1;1;3;2
8;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;12,4000;Contested;3,1200;Tip;Tip;5;3;0;1;1;4;2
9;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;7,4200;Contested;1,5600;Tip;Tip;5;4;0;1;1;5;2
10;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;21,7600;ML;1,5200;Tip;Blade;6;4;0;1;2;5;2
11;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;7,6400;ML;1,6200;Tip;Blade;6;5;0;1;3;5;2
12;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;8,2400;Contested;1,6600;Tip;Tip;6;6;0;1;3;6;2
13;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;5,6600;ML;4,0200;Tip;Blade;7;6;0;1;4;6;2
14;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,9200;None;;;;7;7;0;1;4;6;3
15;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;8,4200;None;;;;7;8;0;1;4;6;4
16;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,5000;None;;;;7;9;0;1;4;6;5
17;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;7,3200;None;;;;7;10;0;1;4;6;6
18;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0012;Contested;6,7400;Tip;Tip;7;10;1;1;4;7;6
19;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;8,3800;ML;3,0000;Tip;Blade;8;10;1;1;5;7;6
20;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;8,2800;ML;1,5200;Tip;Blade;8;11;1;1;6;7;6
