sep=;
round;configuration;ml_model;fsm_version;result;duration_seconds;first_clash_owner;time_to_first_clash_seconds;first_clash_fsm_part;first_clash_ml_part;fsm_wins_total;ml_wins_total;draws_total;fsm_first_clashes_total;ml_first_clashes_total;contested_first_clashes_total;no_first_clashes_total
1;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0010;Contested;2,7800;Tip;Tip;0;0;1;0;0;1;0
2;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0003;ML;4,9400;Tip;Blade;0;0;2;0;1;1;0
3;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;7,7400;None;;;;0;1;2;0;1;1;1
4;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;10,0400;Contested;4,3800;Tip;Tip;0;2;2;0;1;2;1
5;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;7,7800;ML;2,8200;Tip;Blade;0;3;2;0;2;2;1
6;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0011;Contested;3,1800;Tip;Tip;0;3;3;0;2;3;1
7;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;3,9400;None;;;;0;4;3;0;2;3;2
8;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0011;Contested;3,5400;Tip;Tip;0;4;4;0;2;4;2
9;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0000;Contested;3,6800;Tip;Tip;0;4;5;0;2;5;2
10;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;7,7400;Contested;1,3600;Tip;Tip;0;5;5;0;2;6;2
11;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;10,8600;Contested;2,8600;Tip;Tip;1;5;5;0;2;7;2
12;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;0,5400;None;;;;2;5;5;0;2;7;3
13;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0003;Contested;7,2600;Tip;Tip;2;5;6;0;2;8;3
14;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0000;Contested;6,9000;Tip;Tip;2;5;7;0;2;9;3
15;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;9,9200;Contested;3,2000;Tip;Tip;3;5;7;0;2;10;3
16;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0006;ML;7,0000;Tip;Blade;3;5;8;0;3;10;3
17;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0002;Contested;1,5000;Tip;Tip;3;5;9;0;3;11;3
18;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0004;Contested;1,5800;Tip;Tip;3;5;10;0;3;12;3
19;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0008;Contested;5,0400;Tip;Tip;3;5;11;0;3;13;3
20;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;6,1800;ML;1,5200;Tip;Blade;3;6;11;0;4;13;3
21;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;11,0000;ML;3,4200;Tip;Blade;4;6;11;0;5;13;3
22;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,2000;None;;;;5;6;11;0;5;13;4
23;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;9,1400;ML;3,1200;Tip;Blade;5;7;11;0;6;13;4
24;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;0,5800;None;;;;5;8;11;0;6;13;5
25;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;15,2400;Contested;5,0800;Tip;Tip;6;8;11;0;6;14;5
26;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;17,8000;ML;1,0800;Tip;Blade;7;8;11;0;7;14;5
27;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0000;Contested;2,5800;Tip;Tip;7;8;12;0;7;15;5
28;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;19,4800;Contested;6,8800;Tip;Tip;8;8;12;0;7;16;5
29;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0007;Contested;5,0800;Tip;Tip;8;8;13;0;7;17;5
30;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,7400;Contested;1,4200;Tip;Tip;8;9;13;0;7;18;5
