sep=;
round;configuration;ml_model;fsm_version;result;duration_seconds;first_clash_owner;time_to_first_clash_seconds;first_clash_fsm_part;first_clash_ml_part;fsm_wins_total;ml_wins_total;draws_total;fsm_first_clashes_total;ml_first_clashes_total;contested_first_clashes_total;no_first_clashes_total
1;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;4,1600;Contested;1,7000;Tip;Tip;0;1;0;0;0;1;0
2;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;6,4814;None;;;;0;2;0;0;0;1;1
3;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;8,8076;None;;;;0;3;0;0;0;1;2
4;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,0495;None;;;;0;4;0;0;0;1;3
5;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0007;Contested;1,6485;Tip;Tip;0;4;1;0;0;2;3
6;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;8,3168;Contested;2,8768;Tip;Tip;0;5;1;0;0;3;3
7;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0005;Contested;5,0486;Tip;Tip;0;5;2;0;0;4;3
8;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0007;Contested;1,6179;Tip;Tip;0;5;3;0;0;5;3
9;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0005;Contested;9,9466;Tip;Tip;0;5;4;0;0;6;3
10;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0002;FSM;1,9350;Blade;Tip;0;5;5;1;0;6;3
