sep=;
round;configuration;ml_model;fsm_version;result;duration_seconds;first_clash_owner;time_to_first_clash_seconds;first_clash_fsm_part;first_clash_ml_part;fsm_wins_total;ml_wins_total;draws_total;fsm_first_clashes_total;ml_first_clashes_total;contested_first_clashes_total;no_first_clashes_total
1;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0005;Contested;4,9600;Tip;Tip;0;0;1;0;0;1;0
2;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0004;ML;8,0200;Tip;Blade;0;0;2;0;1;1;0
3;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;3,7800;None;;;;0;1;2;0;1;1;1
4;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;7,3000;None;;;;0;2;2;0;1;1;2
5;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,1400;FSM;3,6200;Blade;Tip;1;2;2;1;1;1;2
6;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;8,1200;ML;3,4400;Tip;Blade;2;2;2;1;2;1;2
7;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;7,9400;None;;;;2;3;2;1;2;1;3
8;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;4,3000;None;;;;2;4;2;1;2;1;4
9;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,2800;Contested;1,3800;Tip;Tip;2;5;2;1;2;2;4
10;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0008;Contested;1,4200;Tip;Tip;2;5;3;1;2;3;4
11;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,3000;None;;;;3;5;3;1;2;3;5
12;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;12,7800;ML;6,9400;Tip;Blade;4;5;3;1;3;3;5
13;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;6,0800;FSM;3,0200;Blade;Tip;4;6;3;2;3;3;5
14;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;5,9400;Contested;3,8400;Tip;Tip;5;6;3;2;3;4;5
15;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;14,0200;ML;3,1200;Tip;Blade;6;6;3;2;4;4;5
16;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0003;Contested;5,4200;Tip;Tip;6;6;4;2;4;5;5
17;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;14,1600;ML;3,3800;Tip;Blade;7;6;4;2;5;5;5
18;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;1,3200;None;;;;8;6;4;2;5;5;6
19;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;6,3800;Contested;1,4000;Tip;Tip;9;6;4;2;5;6;6
20;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,2200;Contested;1,4200;Tip;Tip;9;7;4;2;5;7;6
21;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;8,8000;ML;1,5400;Tip;Blade;9;8;4;2;6;7;6
22;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;6,4600;Contested;1,3800;Tip;Tip;10;8;4;2;6;8;6
23;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;26,1400;Contested;5,0800;Tip;Tip;11;8;4;2;6;9;6
24;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;4,0200;None;;;;11;9;4;2;6;9;7
25;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;16,4600;Contested;4,8400;Tip;Tip;12;9;4;2;6;10;7
26;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;23,3200;Contested;2,6800;Tip;Tip;13;9;4;2;6;11;7
27;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;7,9200;Contested;1,4200;Tip;Tip;14;9;4;2;6;12;7
