sep=;
round;configuration;ml_model;fsm_version;result;duration_seconds;first_clash_owner;time_to_first_clash_seconds;first_clash_fsm_part;first_clash_ml_part;fsm_wins_total;ml_wins_total;draws_total;fsm_first_clashes_total;ml_first_clashes_total;contested_first_clashes_total;no_first_clashes_total
1;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;5,1000;Contested;3,6600;Tip;Tip;1;0;0;0;0;1;0
2;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,2600;None;;;;2;0;0;0;0;1;1
3;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;6,2200;ML;1,5400;Tip;Blade;2;1;0;0;1;1;1
4;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,0000;None;;;;2;2;0;0;1;1;2
5;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;11,0800;Contested;1,3800;Tip;Tip;3;2;0;0;1;2;2
6;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;6,0200;None;;;;4;2;0;0;1;2;3
7;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;23,4800;ML;2,9400;Tip;Blade;5;2;0;0;2;2;3
8;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;9,6600;Contested;1,4800;Tip;Tip;5;3;0;0;2;3;3
9;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,5200;None;;;;6;3;0;0;2;3;4
10;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;10,9000;Contested;1,4200;Tip;Tip;7;3;0;0;2;4;4
11;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,2600;None;;;;8;3;0;0;2;4;5
12;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,6400;FSM;3,0800;Blade;Tip;9;3;0;1;2;4;5
13;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;6,0400;None;;;;10;3;0;1;2;4;6
