sep=;
round;configuration;ml_model;fsm_version;result;duration_seconds;first_clash_owner;time_to_first_clash_seconds;first_clash_fsm_part;first_clash_ml_part;fsm_wins_total;ml_wins_total;draws_total;fsm_first_clashes_total;ml_first_clashes_total;contested_first_clashes_total;no_first_clashes_total
1;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0012;Contested;1,5200;Tip;Tip;0;0;1;0;0;1;0
2;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;3,9674;None;;;;0;1;1;0;0;1;1
3;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;3,8891;None;;;;0;2;1;0;0;1;2
4;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,1679;None;;;;1;2;1;0;0;1;3
5;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,2691;ML;4,2091;Tip;Blade;1;3;1;0;1;1;3
6;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;3,9098;None;;;;1;4;1;0;1;1;4
7;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;13,4496;FSM;8,1096;Blade;Tip;1;5;1;1;1;1;4
8;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;3,8884;None;;;;1;6;1;1;1;1;5
9;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;4,2883;None;;;;1;7;1;1;1;1;6
10;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;4,4284;None;;;;1;8;1;1;1;1;7
