round;configuration;ml_model;fsm_version;result;duration_seconds;time_to_first_hit_seconds;fsm_wins_total;ml_wins_total;draws_total;fsm_first_hits_total;ml_first_hits_total
1;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;4.7400;4.7400;0;1;0;0;1
2;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5.2281;5.2281;0;2;0;0;2
3;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30.0007;;0;2;1;0;2
4;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5.5958;5.5958;0;3;1;0;3
5;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30.0001;;0;3;2;0;3
6;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30.0004;;0;3;3;0;3
7;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30.0005;;0;3;4;0;3
8;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30.0004;;0;3;5;0;3
9;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30.0006;;0;3;6;0;3
10;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30.0003;;0;3;7;0;3
