sep=;
round;configuration;ml_model;fsm_version;result;duration_seconds;first_clash_owner;time_to_first_clash_seconds;first_clash_fsm_part;first_clash_ml_part;fsm_wins_total;ml_wins_total;draws_total;fsm_first_clashes_total;ml_first_clashes_total;contested_first_clashes_total;no_first_clashes_total
1;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;19,0800;Contested;1,6000;Tip;Tip;1;0;0;0;0;1;0
2;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;8,9400;Contested;1,7000;Tip;Tip;2;0;0;0;0;2;0
3;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;13,0200;FSM;1,7000;Blade;Tip;3;0;0;1;0;2;0
4;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;15,0800;Contested;1,4200;Tip;Tip;4;0;0;1;0;3;0
5;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;8,8800;Contested;1,4000;Tip;Tip;4;1;0;1;0;4;0
6;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;18,7200;ML;1,5400;Tip;Blade;5;1;0;1;1;4;0
7;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;7,2400;Contested;6,1200;Blade;Blade;6;1;0;1;1;5;0
8;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;26,4800;Contested;1,6200;Tip;Tip;7;1;0;1;1;6;0
9;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;11,3000;Contested;1,6800;Tip;Tip;8;1;0;1;1;7;0
10;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0004;Contested;1,6400;Tip;Tip;8;1;1;1;1;8;0
11;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,6600;Contested;1,4400;Tip;Tip;8;2;1;1;1;9;0
12;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;6,5400;None;;;;9;2;1;1;1;9;1
13;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0011;Contested;1,6600;Tip;Tip;9;2;2;1;1;10;1
14;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;8,8600;Contested;1,3600;Tip;Tip;10;2;2;1;1;11;1
15;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;15,5000;Contested;4,8600;Blade;Blade;11;2;2;1;1;12;1
16;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;3,2000;ML;1,5200;Tip;Blade;12;2;2;1;2;12;1
17;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;10,1000;Contested;1,6200;Tip;Tip;13;2;2;1;2;13;1
18;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;26,1400;Contested;1,6600;Tip;Tip;14;2;2;1;2;14;1
19;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;12,9600;ML;6,3600;Tip;Blade;15;2;2;1;3;14;1
20;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,6000;Contested;1,4000;Tip;Tip;15;3;2;1;3;15;1
21;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;5,4800;FSM;1,6400;Blade;Tip;16;3;2;2;3;15;1
22;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;10,3200;Contested;1,6600;Tip;Tip;17;3;2;2;3;16;1
23;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;9,5600;ML;3,2000;Tip;Blade;18;3;2;2;4;16;1
24;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;10,3600;ML;4,3000;Tip;Blade;19;3;2;2;5;16;1
25;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,9800;Contested;1,4800;Tip;Tip;19;4;2;2;5;17;1
26;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;23,5200;Contested;1,6200;Tip;Tip;20;4;2;2;5;18;1
27;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,6000;Contested;1,3800;Tip;Tip;20;5;2;2;5;19;1
28;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,6000;FSM;1,7000;Blade;Tip;20;6;2;3;5;19;1
29;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;13,6200;FSM;1,5800;Blade;Tip;21;6;2;4;5;19;1
30;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;12,9000;Contested;1,6000;Tip;Tip;22;6;2;4;5;20;1
31;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;23,7000;Contested;1,7200;Tip;Tip;23;6;2;4;5;21;1
32;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;12,1400;ML;7,1600;Tip;Blade;24;6;2;4;6;21;1
