sep=;
round;configuration;ml_model;fsm_version;result;duration_seconds;first_clash_owner;time_to_first_clash_seconds;first_clash_fsm_part;first_clash_ml_part;fsm_wins_total;ml_wins_total;draws_total;fsm_first_clashes_total;ml_first_clashes_total;contested_first_clashes_total;no_first_clashes_total
1;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;11,6800;ML;1,5200;Tip;Blade;0;1;0;0;1;0;0
2;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0009;ML;1,4800;Tip;Blade;0;1;1;0;2;0;0
3;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;4,2600;None;;;;0;2;1;0;2;0;1
4;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;20,6200;Contested;3,4000;Tip;Tip;1;2;1;0;2;1;1
5;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;4,0800;None;;;;1;3;1;0;2;1;2
6;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0000;ML;5,6000;Tip;Blade;1;3;2;0;3;1;2
7;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,4000;ML;2,3800;Tip;Blade;2;3;2;0;4;1;2
8;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,3400;None;;;;3;3;2;0;4;1;3
9;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0128;Contested;7,9000;Tip;Tip;3;3;3;0;4;2;3
10;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;10,4400;FSM;6,1400;Blade;Tip;3;4;3;1;4;2;3
11;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;13,9000;Contested;6,3000;Tip;Tip;3;5;3;1;4;3;3
12;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;7,5200;Contested;2,6800;Tip;Tip;4;5;3;1;4;4;3
13;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,6600;Contested;1,3800;Tip;Tip;4;6;3;1;4;5;3
14;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0009;Contested;1,4400;Tip;Tip;4;6;4;1;4;6;3
15;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0012;Contested;3,1000;Tip;Tip;4;6;5;1;4;7;3
16;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,5400;None;;;;5;6;5;1;4;7;4
17;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0006;Contested;3,3800;Tip;Tip;5;6;6;1;4;8;4
18;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;12,5400;Contested;2,9200;Tip;Tip;5;7;6;1;4;9;4
19;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;9,8600;None;;;;6;7;6;1;4;9;5
20;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;8,0400;Contested;1,4800;Tip;Tip;6;8;6;1;4;10;5
21;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;9,5600;Contested;2,8000;Tip;Tip;6;9;6;1;4;11;5
22;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;29,7800;ML;1,5000;Tip;Blade;7;9;6;1;5;11;5
23;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;6,1200;Contested;1,4000;Tip;Tip;8;9;6;1;5;12;5
24;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;27,1000;FSM;4,4400;Blade;Tip;9;9;6;2;5;12;5
25;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;10,6000;None;;;;9;10;6;2;5;12;6
26;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;26,4200;FSM;1,6600;Blade;Tip;10;10;6;3;5;12;6
27;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,6600;Contested;1,4200;Tip;Tip;10;11;6;3;5;13;6
28;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0012;Contested;2,8200;Tip;Tip;10;11;7;3;5;14;6
29;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;6,7200;Contested;1,5000;Tip;Tip;11;11;7;3;5;15;6
30;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;7,3600;Contested;2,6000;Tip;Tip;11;12;7;3;5;16;6
31;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0012;ML;3,9600;Tip;Blade;11;12;8;3;6;16;6
32;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;6,3800;Contested;1,7600;Tip;Tip;12;12;8;3;6;17;6
33;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0010;ML;3,1600;Tip;Blade;12;12;9;3;7;17;6
34;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;8,9000;Contested;4,0000;Tip;Tip;12;13;9;3;7;18;6
35;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;20,8200;Contested;3,0000;Tip;Tip;13;13;9;3;7;19;6
36;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,3200;Contested;1,1600;Tip;Tip;14;13;9;3;7;20;6
37;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,8800;Contested;1,3600;Tip;Tip;14;14;9;3;7;21;6
38;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;5,6800;Contested;1,4600;Tip;Tip;15;14;9;3;7;22;6
39;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;8,9600;Contested;1,3400;Tip;Tip;15;15;9;3;7;23;6
40;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;5,9600;Contested;1,3800;Tip;Tip;16;15;9;3;7;24;6
41;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0002;ML;11,4400;Tip;Blade;16;15;10;3;8;24;6
42;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0006;ML;2,0600;Tip;Blade;16;15;11;3;9;24;6
43;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0006;Contested;1,5000;Tip;Tip;16;15;12;3;9;25;6
44;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;7,6400;Contested;1,4400;Tip;Tip;16;16;12;3;9;26;6
45;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;10,5400;ML;1,4800;Tip;Blade;16;17;12;3;10;26;6
46;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,0800;Contested;1,3800;Tip;Tip;16;18;12;3;10;27;6
47;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;13,4400;Contested;3,3200;Tip;Tip;17;18;12;3;10;28;6
48;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0009;Contested;1,3400;Tip;Tip;17;18;13;3;10;29;6
49;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;13,8600;Contested;1,4400;Tip;Tip;18;18;13;3;10;30;6
50;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;9,1000;Contested;3,0000;Tip;Tip;18;19;13;3;10;31;6
51;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,9400;None;;;;18;20;13;3;10;31;7
52;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;8,3800;Contested;3,2800;Tip;Tip;18;21;13;3;10;32;7
