sep=;
round;configuration;ml_model;fsm_version;result;duration_seconds;first_clash_owner;time_to_first_clash_seconds;first_clash_fsm_part;first_clash_ml_part;fsm_wins_total;ml_wins_total;draws_total;fsm_first_clashes_total;ml_first_clashes_total;contested_first_clashes_total;no_first_clashes_total
1;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,4400;None;;;;1;0;0;0;0;0;1
2;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,5400;Contested;1,3800;Tip;Tip;1;1;0;0;0;1;1
3;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;7,3400;Contested;1,4400;Tip;Tip;1;2;0;0;0;2;1
4;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;6,9200;Contested;1,3600;Tip;Tip;1;3;0;0;0;3;1
5;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;7,6600;Contested;1,3400;Tip;Tip;1;4;0;0;0;4;1
6;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;8,5800;Contested;1,3400;Tip;Tip;1;5;0;0;0;5;1
7;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;9,7200;ML;7,6200;Tip;Blade;1;6;0;0;1;5;1
8;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;4,3000;None;;;;1;7;0;0;1;5;2
9;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;11,5200;None;;;;1;8;0;0;1;5;3
10;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,2000;None;;;;1;9;0;0;1;5;4
11;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0009;Contested;1,3600;Tip;Tip;1;9;1;0;1;6;4
12;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;7,6200;Contested;1,4800;Tip;Tip;1;10;1;0;1;7;4
13;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,2800;None;;;;2;10;1;0;1;7;5
14;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;6,5400;Contested;1,4800;Tip;Tip;2;11;1;0;1;8;5
15;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;6,1600;Contested;1,3600;Tip;Tip;2;12;1;0;1;9;5
16;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,2800;None;;;;3;12;1;0;1;9;6
17;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;10,9800;Contested;1,3800;Tip;Tip;4;12;1;0;1;10;6
18;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;7,6800;None;;;;4;13;1;0;1;10;7
19;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;0,5800;None;;;;4;14;1;0;1;10;8
20;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;10,5600;Contested;1,3600;Tip;Tip;5;14;1;0;1;11;8
21;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,0400;None;;;;5;15;1;0;1;11;9
22;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;24,1000;ML;6,5000;Tip;Blade;5;16;1;0;2;11;9
23;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;5,9200;Contested;1,4000;Tip;Tip;6;16;1;0;2;12;9
24;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;10,9400;FSM;1,7000;Blade;Tip;7;16;1;1;2;12;9
25;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;4,5000;None;;;;7;17;1;1;2;12;10
26;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,0000;None;;;;7;18;1;1;2;12;11
27;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,8800;None;;;;8;18;1;1;2;12;12
28;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0009;ML;4,4200;Tip;Blade;8;18;2;1;3;12;12
29;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;15,7600;Contested;1,3800;Tip;Tip;9;18;2;1;3;13;12
30;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;12,0600;ML;7,6000;Tip;Blade;10;18;2;1;4;13;12
