sep=;
round;configuration;ml_model;fsm_version;result;duration_seconds;first_clash_owner;time_to_first_clash_seconds;first_clash_fsm_part;first_clash_ml_part;fsm_wins_total;ml_wins_total;draws_total;fsm_first_clashes_total;ml_first_clashes_total;contested_first_clashes_total;no_first_clashes_total
1;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;13,9400;Contested;1,6200;Tip;Tip;1;0;0;0;0;1;0
2;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;8,8600;Contested;1,6800;Tip;Tip;2;0;0;0;0;2;0
3;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;8,5800;Contested;1,6400;Tip;Tip;3;0;0;0;0;3;0
4;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;11,0600;Contested;3,3800;Tip;Tip;4;0;0;0;0;4;0
5;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;7,2400;None;;;;4;1;0;0;0;4;1
6;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;16,2800;Contested;3,6000;Tip;Tip;5;1;0;0;0;5;1
7;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;8,8200;Contested;1,5000;Tip;Tip;6;1;0;0;0;6;1
8;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,3200;None;;;;6;2;0;0;0;6;2
9;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;10,8000;Contested;3,5000;Tip;Tip;7;2;0;0;0;7;2
10;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0006;Contested;1,7200;Tip;Tip;7;2;1;0;0;8;2
11;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,4000;Contested;1,4000;Tip;Tip;7;3;1;0;0;9;2
12;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0005;Contested;1,5800;Tip;Tip;7;3;2;0;0;10;2
13;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,6600;Contested;1,7000;Tip;Tip;8;3;2;0;0;11;2
14;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,5800;Contested;1,4200;Tip;Tip;8;4;2;0;0;12;2
15;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,5200;None;;;;8;5;2;0;0;12;3
16;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;5,7200;Contested;1,5400;Tip;Tip;9;5;2;0;0;13;3
17;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;7,0600;None;;;;9;6;2;0;0;13;4
18;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,6800;None;;;;9;7;2;0;0;13;5
19;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;20,7600;Contested;1,6400;Tip;Tip;10;7;2;0;0;14;5
20;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;18,9000;Contested;3,1200;Tip;Tip;11;7;2;0;0;15;5
21;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;7,9800;Contested;1,4000;Tip;Tip;12;7;2;0;0;16;5
22;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;13,8000;ML;3,9400;Tip;Blade;13;7;2;0;1;16;5
23;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;15,4000;Contested;1,6600;Tip;Tip;14;7;2;0;1;17;5
24;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,3000;Contested;1,7600;Tip;Tip;14;8;2;0;1;18;5
25;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0010;Contested;1,6600;Tip;Tip;14;8;3;0;1;19;5
26;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0013;ML;1,6000;Tip;Blade;14;8;4;0;2;19;5
27;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,9200;None;;;;14;9;4;0;2;19;6
28;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;6,1800;Contested;1,7000;Tip;Tip;15;9;4;0;2;20;6
29;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0011;Contested;1,6200;Tip;Tip;15;9;5;0;2;21;6
30;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;6,8400;ML;1,6600;Tip;Blade;15;10;5;0;3;21;6
