sep=;
round;configuration;ml_model;fsm_version;result;duration_seconds;first_clash_owner;time_to_first_clash_seconds;first_clash_fsm_part;first_clash_ml_part;fsm_wins_total;ml_wins_total;draws_total;fsm_first_clashes_total;ml_first_clashes_total;contested_first_clashes_total;no_first_clashes_total
1;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,8800;ML;4,2800;Tip;Blade;1;0;0;0;1;0;0
2;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;12,8600;ML;1,6000;Tip;Blade;2;0;0;0;2;0;0
3;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;8,5400;ML;1,5800;Tip;Blade;2;1;0;0;3;0;0
4;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;6,7600;Contested;1,4600;Tip;Tip;3;1;0;0;3;1;0
5;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;10,9200;Contested;1,3400;Tip;Tip;3;2;0;0;3;2;0
6;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;18,1800;Contested;1,3600;Tip;Tip;4;2;0;0;3;3;0
7;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,2800;None;;;;5;2;0;0;3;3;1
8;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;5,9800;None;;;;6;2;0;0;3;3;2
9;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,2600;None;;;;7;2;0;0;3;3;3
10;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;7,6200;Contested;1,3400;Tip;Tip;7;3;0;0;3;4;3
11;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;8,9200;FSM;3,3200;Blade;Tip;8;3;0;1;3;4;3
12;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;6,0400;None;;;;9;3;0;1;3;4;4
13;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,6000;Contested;1,3600;Tip;Tip;9;4;0;1;3;5;4
14;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,3000;None;;;;10;4;0;1;3;5;5
15;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;6,6800;Contested;1,4600;Tip;Tip;10;5;0;1;3;6;5
16;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;8,8200;Contested;1,4200;Tip;Tip;10;6;0;1;3;7;5
17;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;9,1800;Contested;1,3400;Tip;Tip;10;7;0;1;3;8;5
18;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;10,0800;Contested;1,3400;Tip;Tip;10;8;0;1;3;9;5
19;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,8200;None;;;;11;8;0;1;3;9;6
20;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;27,3200;FSM;1,5600;Blade;Tip;12;8;0;2;3;9;6
